               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.018421,             0.01864,           0.0017253,             0.96045,             0.97729,             0.97996,              0.7189,            0.023017,             0.01134,           0.0031417,            0.001387,            0.001387,            0.001387
                  89,            0.018273,            0.018383,           0.0017757,             0.96465,             0.98339,             0.98239,             0.72507,            0.022961,            0.011349,           0.0029957,            0.001288,            0.001288,            0.001288
                  90,            0.018272,            0.018322,           0.0019022,             0.96298,             0.97598,             0.97397,             0.71985,            0.023091,            0.011318,           0.0029497,            0.001189,            0.001189,            0.001189
                  91,            0.018046,            0.018253,           0.0018011,             0.95781,             0.97688,             0.97214,              0.7193,            0.023109,            0.011444,           0.0029043,             0.00109,             0.00109,             0.00109
                  92,            0.017919,            0.018273,           0.0016627,              0.9614,             0.98022,             0.97437,             0.71876,            0.023169,            0.011619,           0.0029684,            0.000991,            0.000991,            0.000991
                  93,            0.017762,            0.018184,           0.0017209,             0.95866,             0.97772,             0.97231,             0.71739,            0.023018,            0.011452,           0.0029808,            0.000892,            0.000892,            0.000892
                  94,            0.017745,            0.017699,           0.0017899,             0.95636,              0.9739,             0.97273,             0.72236,            0.023004,            0.011304,           0.0029485,            0.000793,            0.000793,            0.000793
                  95,            0.017909,            0.017572,           0.0018126,             0.96005,             0.97405,             0.97164,             0.72373,            0.022966,            0.011275,           0.0029867,            0.000694,            0.000694,            0.000694
                  96,            0.018053,            0.017995,           0.0018423,             0.95547,             0.97231,             0.96946,              0.7239,            0.022948,            0.011337,           0.0030321,            0.000595,            0.000595,            0.000595
                  97,            0.017667,            0.017927,           0.0017197,             0.96046,             0.97376,             0.97539,             0.72173,            0.022974,            0.011317,           0.0030892,            0.000496,            0.000496,            0.000496
                  98,            0.017532,            0.018024,           0.0016422,              0.9594,             0.97495,              0.9704,             0.72571,            0.022821,            0.011254,           0.0030199,            0.000397,            0.000397,            0.000397
                  99,            0.018024,            0.018287,           0.0017944,             0.95605,              0.9735,             0.97306,             0.72825,            0.022764,            0.011251,           0.0030082,            0.000298,            0.000298,            0.000298
